monthday,flagday
02-03,"Alvar ja Aino Aallon sekä suomalaisen arkkitehtuurin ja muotoilun päivä (suositeltu liputuspäivä)"
02-05,"J.L. Runebergin päivä (virallinen liputuspäivä)"
02-06,"Saamelaisten kansallispäivä (suositeltu liputuspäivä)"
02-11,"Presidentinvaalin toinen vaali (virallinen liputuspäivä)"
02-28,"Kalevalan päivä, suomalaisen kulttuurin päivä (virallinen liputuspäivä)"
03-01,"Päivä, jolloin tasavallan presidentti astuu toimeensa (virallinen liputuspäivä)"
03-19,"Minna Canthin päivä, tasa-arvon päivä (vakiintunut liputuspäivä)"
04-08,"Kansainvälinen romanipäivä (suositeltu liputuspäivä)"
04-09,"Mikael Agricolan päivä, suomen kielen päivä (vakiintunut liputuspäivä)"
04-27,"Kansallinen veteraanipäivä (vakiintunut liputuspäivä)"
05-01,"Vappu, suomalaisen työn päivä (virallinen liputuspäivä)"
05-09,"Eurooppa-päivä (vakiintunut liputuspäivä)"
05-12,"J.V. Snellmanin päivä, suomalaisuuden päivä (vakiintunut liputuspäivä)"
05-19,"Kaatuneitten muistopäivä (toukokuun kolmas sunnuntai, vakiintunut liputuspäivä)"
06-04,"Puolustusvoimain lippujuhlan päivä (virallinen liputuspäivä)"
06-09,"Europarlamenttivaalit (virallinen liputuspäivä)"
06-22,"Juhannus, Suomen lipun päivä (kesäkuun 20. ja 26. päivän välinen lauantai, virallinen liputuspäivä)"
07-06,"Eino Leinon päivä, runon ja suven päivä (vakiintunut liputuspäivä)"
08-09,"Tove Janssonin ja suomalaisen taiteen päivä (suositeltu liputuspäivä)"
08-31,"Suomen luonnon päivä (elokuun viimeinen lauantai, vakiintunut liputuspäivä)"
10-01,"Miina Sillanpään päivä, kansalaisvaikuttamisen päivä (vakiintunut liputuspäivä)"
10-10,"Aleksis Kiven päivä, suomalaisen kirjallisuuden päivä (vakiintunut liputuspäivä)"
10-24,"YK:n päivä (vakiintunut liputuspäivä)"
11-06,"Ruotsalaisuuden päivä, Kustaa Aadolfin päivä (vakiintunut liputuspäivä)"
11-10,"Isänpäivä (marraskuun toinen sunnuntai, virallinen liputuspäivä)"
11-20,"Lapsen oikeuksien päivä (vakiintunut liputuspäivä)"
12-06,"Itsenäisyyspäivä (virallinen liputuspäivä)"
12-08,"Jean Sibeliuksen päivä, suomalaisen musiikin päivä (vakiintunut liputuspäivä)"
