date,flagday
02-03,Alvar ja Aino Aallon sekä suomalaisen arkkitehtuurin ja muotoilun päivä
02-05,J.L. Runebergin päivä
02-06,Saamelaisten kansallispäivä
02-28,Kalevalan päivä, suomalaisen kulttuurin päivä
03-19,Minna Canthin päivä, tasa-arvon päivä
04-08,Romanien kansallispäivä
04-09,Mikael Agricolan päivä, suomen kielen päivä
04-20,Evakkojen päivä
04-27,Kansallinen veteraanipäivä
05-01,Vappu, suomalaisen työn päivä
05-09,Eurooppa-päivä
05-11,Äitienpäivä
05-12,J.V. Snellmanin päivä, suomalaisuuden päivä
05-17,Kaatuneitten muistopäivä
06-04,Puolustusvoimain lippujuhlan päivä
06-20,Juhannus, Suomen lipun päivä
07-06,Eino Leinon päivä, runon ja suven päivä
08-09,Tove Janssonin ja suomalaisen taiteen päivä
08-29,Suomen luonnon päivä
10-01,Miina Sillanpään ja kansalaisvaikuttamisen päivä
10-10,Aleksis Kiven päivä, suomalaisen kirjallisuuden päivä
10-24,YK:n päivä
11-06,Ruotsalaisuuden päivä, Kustaa Aadolfin päivä
11-08,Isänpäivä
11-20,Lapsen oikeuksien päivä
12-06,Itsenäisyyspäivä
12-08,Jean Sibeliuksen päivä, suomalaisen musiikin päivä
